Date,SVENY01
2002-11-29,0.9848164503467863
2002-12-31,0.9876874277139344
2003-01-31,0.9872934190402342
2003-02-28,0.9878751061540872
2003-03-31,0.9884136448253992
2003-04-30,0.9884334132959798
2003-05-30,0.9887260328918791
2003-06-30,0.9897221814836386
2003-07-31,0.9874622606504363
2003-08-29,0.9870683418004733
2003-09-30,0.9892581106136482
2003-10-31,0.9873309369029926
2003-11-28,0.9857485275118025
2003-12-31,0.9876498963047826
2004-01-30,0.9874277000761271
2004-02-27,0.9884808592385115
2004-03-31,0.98845713598257
2004-04-30,0.9839374018102146
2004-05-31,
2004-06-30,0.979471635655487
2004-07-30,0.9792493208278809
2004-08-31,0.9804349296547686
2004-09-30,0.9779702780021223
2004-10-29,0.9777336378294617
2004-11-30,0.9737204780975308
2004-12-31,0.9726888812336771
